id,purchase_external_id,position_external_id,item_name,offer_title,seller_name,region,unit_price,available_quantity,delivery_price,effective_unit_price,relevance_score,is_relevant,supplier_status,match_score,hard_reject_reason,match_reasons,matched_fields,mismatched_fields,delivery_type,delivery_price_type,min_order_quantity,package_quantity,used_in_calculation,taken_quantity,offer_url,risk_flags,tech_spec_confirmation_status
1,6077135,,Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),TechProvision,66,482000,2,5000,484500,0.1313,False,unknown,0.1313,,,,,unknown,unknown,,,False,,,low_relevance,reject
2,6077135,,Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),FirstLine Equip,66,489500,3,3500,490666.67,0.1313,False,unknown,0.1313,,,,,unknown,unknown,,,False,,,low_relevance,reject
3,6077135,,Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),RegionSupply,66,476900,1,6000,482900,0.1313,False,unknown,0.1313,,,,,unknown,unknown,,,False,,,low_relevance,reject
4,6077125,,Поставка коммутатора Huawei,Поставка коммутатора Huawei,NetSystems,66,128500,4,1500,128875,0.1067,False,unknown,0.1067,,,,,unknown,unknown,,,False,,,low_relevance,reject
5,6077125,,Поставка коммутатора Huawei,Поставка коммутатора Huawei,UralTelecom,66,131900,6,1200,132100,0.1067,False,unknown,0.1067,,,,,unknown,unknown,,,False,,,low_relevance,reject
6,6077125,,Поставка коммутатора Huawei,Поставка коммутатора Huawei,InfraMarket,66,126750,3,1800,127350,0.1067,False,unknown,0.1067,,,,,unknown,unknown,,,False,,,low_relevance,reject
7,6077125,,Поставка коммутатора Huawei,Huawei S5735S-24T4S коммутатор,ООО Сетевые Решения,Москва,124900,5,1500,125200,0.0458,False,unknown,0.0458,,,,,,,,,False,,https://example.com/huawei-switch-1,low_relevance,reject
8,6077125,,Поставка коммутатора Huawei,Huawei S5735S-24T4S аналог,ООО ТелекомСнаб,Москва,127400,6,1200,127600,0.0386,False,unknown,0.0386,,,,,,,,,False,,https://example.com/huawei-switch-2,low_relevance,reject
9,6077135,,Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),Комплект оборудования для офиса,ООО ТехМаркет,Екатеринбург,469000,3,4500,470500,0.0122,False,unknown,0.0122,,,,,,,,,False,,https://example.com/office-kit-1,low_relevance,reject
10,6077135,,Поставка оборудования и техники в целях обеспечения уставной деятельности Регионального отделения Общероссийского общественно-государственного движения детей и молодежи «Движение первых» Свердловской области (26_54574),Набор техники и оборудования,ООО УралПоставка,Екатеринбург,474500,4,3000,475250,0.0188,False,unknown,0.0188,,,,,,,,,False,,https://example.com/office-kit-2,low_relevance,reject
